Date,Open,High,Low,Close,Adj Close,Volume
2006-08-25,129.64,130.25,129.55,129.81,98.04,41756000
2006-08-28,129.65,130.82,129.64,130.43,98.5,52681500
2006-08-29,130.49,130.83,129.81,130.58,98.62,61817800
2006-08-30,130.87,131.04,130.55,130.66,98.68,50052200
2006-08-31,130.85,130.99,130.58,130.64,98.66,37510300
2006-09-01,131.14,131.58,130.84,131.42,99.25,48794500
2006-09-05,131.51,131.85,131.2,131.67,99.44,52348300
2006-09-06,131.11,131.16,130.33,130.51,98.56,53795600
2006-09-07,130.06,130.57,129.35,129.91,98.11,86269400
2006-09-08,130.08,130.46,129.83,130.28,98.39,45096300
2006-09-11,129.86,130.69,129.48,130.41,98.49,68496600
2006-09-12,130.56,131.84,130.37,131.69,99.46,69875600
2006-09-13,131.64,132.45,131.52,132.22,99.86,62898400
2006-09-14,131.96,132.24,131.75,132.23,99.86,57805400
2006-09-15,132.31,132.39,131.68,131.96,100.1,76703100
2006-09-18,131.79,132.39,131.65,132.14,100.23,64154100
2006-09-19,132.12,132.13,131.07,131.81,99.98,92089100
2006-09-20,132.25,132.77,132.06,132.51,100.51,75204100
2006-09-21,132.61,132.75,131.42,131.87,100.03,88932500
2006-09-22,131.67,131.68,131.0,131.47,99.73,65966800
2006-09-25,131.73,132.85,131.05,132.48,100.49,92299100
2006-09-26,132.5,133.6,132.4,133.58,101.33,73962700
2006-09-27,133.49,133.97,133.27,133.74,101.45,82432200
2006-09-28,133.74,133.99,133.28,133.69,101.41,58597500
2006-09-29,133.8,133.94,133.48,133.58,101.33,47966600
2006-10-02,133.54,133.83,132.95,133.08,100.95,51687400
2006-10-03,132.89,133.87,132.65,133.36,101.16,73108100
2006-10-04,133.23,135.0,133.08,134.92,102.34,80890500
2006-10-05,134.92,135.41,134.75,135.18,102.54,60505900
2006-10-06,134.95,135.1,134.4,135.01,102.41,64983600
2006-10-09,134.85,135.3,134.64,135.09,102.47,41176800
2006-10-10,135.1,135.45,134.84,135.27,102.61,56403700
2006-10-11,134.84,135.43,134.3,135.11,102.49,104071800
2006-10-12,135.45,136.39,135.4,136.28,103.37,59158600
2006-10-13,136.16,136.71,136.04,136.63,103.64,53944000
2006-10-16,136.52,137.05,136.42,136.84,103.8,42273000
2006-10-17,136.47,136.7,135.67,136.41,103.47,90500600
2006-10-18,137.04,137.37,136.1,136.59,103.61,86848600
2006-10-19,136.39,136.88,136.23,136.81,103.78,64063200
2006-10-20,136.84,136.95,136.33,136.84,103.8,48094500
2006-10-23,136.56,137.8,136.39,137.47,104.28,66219900
2006-10-24,137.28,137.93,137.22,137.88,104.59,53234900
2006-10-25,137.74,138.41,137.51,138.35,104.94,78105400
2006-10-26,138.66,139.0,137.98,138.78,105.27,66843700
2006-10-27,138.61,138.75,137.63,137.91,104.61,80238000
2006-10-30,137.66,138.2,137.4,137.81,104.53,49717800
2006-10-31,138.07,138.26,137.25,137.79,104.52,71274100
2006-11-01,138.22,138.31,136.72,136.86,103.81,83005600
2006-11-02,136.51,137.01,136.36,136.78,103.75,60693100
2006-11-03,137.27,137.39,135.62,136.54,103.57,71346400
2006-11-06,136.96,138.28,136.95,138.08,104.74,63303300
2006-11-07,138.2,138.98,138.0,138.61,105.14,63318900
2006-11-08,138.0,139.05,136.86,138.91,105.37,87517800
2006-11-09,139.01,139.14,137.9,138.18,104.82,95916300
2006-11-10,138.14,138.34,137.72,138.24,104.86,48991500
2006-11-13,138.18,139.04,138.07,138.58,105.12,59398200
2006-11-14,138.97,139.74,138.12,139.62,105.91,96704000
2006-11-15,139.57,140.45,139.53,140.02,106.21,76509600
2006-11-16,140.44,140.68,139.49,140.38,106.48,76728800
2006-11-17,139.93,140.43,139.73,140.42,106.51,56353800
2006-11-20,140.3,140.74,139.94,140.5,106.58,69174200
2006-11-21,140.49,140.67,140.29,140.64,106.68,51367900
2006-11-22,140.75,141.16,140.5,140.92,106.89,45505300
2006-11-24,140.24,140.84,140.2,140.35,106.46,30998000
2006-11-27,140.28,140.35,138.38,138.42,105.0,84545100
2006-11-28,138.24,139.16,138.11,139.02,105.45,106652900
2006-11-29,139.47,140.53,139.08,140.47,106.55,90034900
2006-11-30,140.44,141.05,139.76,140.53,106.6,83994300
2006-12-01,140.53,140.66,138.97,140.22,106.36,126080000
